"English","English_Abbr","HK Chinese"
"Intelligent Character Recognition","","智能字元識別"
"intelligent terminal","","智能終端機"
"Interactive Government Services Directory","IGSD","政府互動服務指南"
"interactive television","","互動電視"
"interface","","界面"
"intergraph digital print room (DPR) format","","數碼印刷室規格"
"interlock","","聯鎖"
"internal representation","","內部表示"
"internal schema","","內模式"
"International Organization for Standardization","ISO","國際標準化組織"
"International Telecommunication Union","ITU","國際電信聯盟"
"internationalized domain name","IDN","國際化域名"
"Internet","","互聯網"
"Internet content hub","","互聯網資訊樞紐"
"internet content rating system project","ICRS","互聯網內容標籤制度計劃"
"Internet Corporation for Assigned Names and Numbers","ICANN","互聯網名稱與數字地址分配機構"
"Internet Corporation for Assigned Names and Numbers (ICANN) Governmental Advisory Committee (GAC)","","互聯網名稱與數字地址分配機構轄下政府諮詢委員會"
"Internet domain name","","互聯網域名"
"Internet hub","","互聯網樞紐"
"Internet of things","","物聯網"
"Internet protocol (IP) address","IP address","互聯網規約地址"
"Internet Protocol version 6","IPv6","互聯網規約版本 6"
"Internet service provider","ISP","互聯網服務供應商"
"Internet traffic hub","","互聯網通訊樞紐"
"internetworking","","網間互連"
"interoperability","","互用性"
"Interoperability Framework Co-ordination Group","","互用架構協調小組"
"intranet","","內聯網"
"intrusion detection system","IDS","網絡入侵偵測系統"
"intrusion prevention system","IPS","網絡入侵防禦系統"
"IP (internet protocol) phone","IP phone","互聯網規約電話"
"IT as utility","","資訊科技公用設施"
"job control language","","工件控制語言"
"job control procedure","","工件控制程序"
"job scheduling","","工件調度"
"job submission","","工件提交"
"joint photographic experts group","JPEG","聯合圖像專家小組規範"
"Joint School Electronics and Computer Exhibition","","香港聯校電子及電腦展"
"kernel","","核心"
"key compromise","","密碼匙資料外泄"
"key pair","","配對密碼匙"
"keyboard","","鍵盤"
"keylogger","","鍵盤側錄程式"
"keystroke","","鍵次"
"keyword","","關鍵字"
"kilobyte","KB","千字節"
"knowledge base","","知識庫"
"label","","標籤"
"landing contact","","下落式接觸"
"laptop computer","","膝上電腦"
"laser printer","","激光打印機"
"leased line","","租用線路"
"light pen","","光筆"
"lightweight directory access protocol","LDAP","輕量式目錄接達規約"
"line printer","","行式打印機"
"link test","","連結測試"
"liquid crystal display","LCD","液晶顯示"
"live run","","生產運作"
"load balancer","","負載平衡器"
"load balancing","","負載平衡"
"local area network","LAN","局部區域網絡"
"local area network administrator","LAN administrator","局部區域網絡管理員"
"location based service","LBS","位置服務"
"location resilience","","站點復原能力"
"logical data flow diagram","","邏輯數據流程圖"
"logical data model","","邏輯數據模型"
"logical data structure","","邏輯數據結構"
"logical design","","邏輯設計"
"logical schema","","邏輯模式"
"logical system specification","","邏輯系統規格"
"long term evolution","LTE","長期演進技術"
"low-latency communication","","低延遲通訊"
"low-tier data centres","","低端數據中心"
"machine-readable format","","機讀格式"
"machine-to-machine communication","","機器類型通訊"
"machine learning","","機器學習"
"machine platform","","機器平台"
"macro","","宏指令"
"magnetic medium","","磁性媒體"
"magnetic optical (MO) disk drive","MO disk drive","磁光碟機"
"mailbox","","郵箱"
"mainframe","","主機"
"mainframe computer","","主機電腦"
"mainframe system","","主機系統"
"maintenance [system]","","[系統]維修"
"malicious attack","","惡意攻擊"
"malicious code","","惡意程式碼"
"malware","","惡意軟件"
"management information","","管理資訊"
"management information system","","管理資訊系統"
"mashup [web application]","","[網上應用系統]混搭"
"master station","","主站"
"master-slave","","主從式"
"matrix printer","","點陣式打印機"
"Media Centre PC","MCPC","媒體中心個人電腦"
"megabyte","MB","百萬字節"
"memory [computer]","","[電腦]記憶體"
"memory module","","記憶模組"
"menu","","選項單"
"message","","信息"
"message digest","","信息摘要"
"message retrieval","","信息檢索"
"message source","","信息源"
"message switch","","信息交接"
"meteorological sensor","","氣象感應器"
"metering tools","","計量工具"
"methodology","","方法"
"metropolitan area network","MAN","城市區域網絡"
"metro ethernet","","都會以太網"
"micro-blogging site","","微博網站"
"microblog","","微網誌"
"microchip","","微晶片"
"microcomputer","","微型電腦"
"microfiche duplicator","","縮微膠片複製器"
"microfiche reader","","縮微膠片閱讀機"
"microprocessor","","微處理器"
"microservice","","微服務"
"mid-range computer","","中型電腦"
"mid-tier data centres","","中端數據中心"
"middle-ware","","中間件"
"migration [system]","","[系統]遷移"
"millennium bug","","千年蟲"
"minicomputer","","小型電腦"
"mixed reality","MR","混合實境"
"Mobile Application Accessibility Handbook","","《無障礙流動應用程式手冊》"
"mobile computing","","流動資訊處理"
"Mobile Device Management","","流動裝置管理"
"mobile device user","","流動裝置用戶"
"mobile-friendly","","流動友善"
"mobile government","","流動政府"
"mobile internet devices","MID","移動互聯網設備"
"mobile payment","","流動支付"
"Moving Picture Experts Group","MPEG","動態圖像專家組格式"
"mobile subscriber penetration rate","","流動電話服務用戶滲透率"
"mode","","形式"
"modem","","調解器"
"modulation","","調變"
"modulation rate","","調變率"
"module test","","模組測試"
"monitor","","顯示器"
"mouse","","滑鼠"
"multi-access unit","MAU","多路接達器"
"multi-functional sensor","","多功能感應器"
"Multi-functional Smart Lamppost","","多功能智慧燈柱"
"Multi-functional Smart Lampposts Pilot Scheme","","多功能智慧燈柱試驗計劃"
"multimedia","","多媒體"
"multimedia kiosk","","多媒體資訊站"
"multimedia messaging service","MMS","多媒體訊息服務"
"multiple access","","多址接達"
"multiplexer","MUX","多工器"
"multiprocessor","","多處理器"
"multiprogramming","","多道程式設計"
"multipurpose internet mail extension","MIME","多功能互聯網郵遞伸延"
"multitasking","","多工處理"
"Multi-Application Smart Identity Card","","多用途智能身份證"
"mutual authentication","","相互認證"
"naked chat","","裸聊"
"narrowband","","窄帶"
"natural language","","自然語言"
"Natural Language Processing","NLP","自然語言處理"
"navigation bar","","導覽列"
"near field communication","NFC","近距離無線通訊"
"netbook","","小筆電"
"network","","網絡"
"network address","","網址"
"network administration","","網絡管理"
"network attached storage","NAS","網絡儲存設備"
"network chart","","網絡圖"
"network computer","NC","網絡電腦"
"network configuration","","網絡配置"
"network design","","網絡設計"
"network management","","網絡管理"
"network model","","網絡模型"
"network operating system","","網絡操作系統"
"network server","","網絡伺服器"
"network station","","網絡站"
"network structure","","網絡結構"
"network support service","","網絡支援服務"
"network topology","","網絡布局"
"newsgroup","","新聞組"
"node","","節點"
"noise","","干擾"
"non-administrative system","","非行政系統"
"non-repudiation","","不可否定性"
"normalisation","","規格化"
"notebook computer","","筆記簿型電腦"
"object identifier","","物件識別項目"
"object orientation","OO","物件導向"
"object-oriented database","OODB","物件導向數據庫"
"object-oriented database management system","OODBMS","物件導向數據庫管理系統"
"object-oriented language","","物件導向語言"
"object-oriented programming","OOP","物件導向程式編製"
"object-oriented system analysis & design","OOSA&D","物件導向系統分析和設計"
"object-oriented technology","OOT","物件導向科技"
"off-line mode","","離機形式"
"office automation","OA","辦公室自動化"
"office system","","辦公室系統"
"offsite storage system","","場外儲存系統"
"on-demand service","","按需要自選服務"
"on-going support","","持續支援"
"on-line job","","聯機工件"
"on-line mode","","聯機形式"
"on-line service","","聯機服務"
"on-line transaction processing","OLTP","聯機事項處理"
"one-stop access portal","OSP","一站式入門網站"
"online finance","","網上貸款"
"online wealth management","","網上財富管理"
"open data","","開放數據"
"open reel tape","","開捲式磁帶"
"open source software","OSS","開放源碼軟件"
"open system","","開放式系統"
"Open Web Application Security Project","OWASP","開放網路應用程式安全計劃"
"operating environment","","操作環境"
"operating system","","操作系統"
"operating system software","","操作系統軟件"
"optical character reader","OCR","光學字符閱讀器"
"optical character recognition","OCR","光學字符識別"
"optical disk drive","","光碟機"
"optical fibre","","光導纖維"
"optical mark reader","","光學標記閱讀器"
"optical mark recognition","OMR","光學標記識別"
"optical storage device","","光學儲存設備"
"outbox","","發信信箱"
"output","","輸出"
"outsourcing","","外判"
"overwrite","","蓋寫"
"packaged software","","套裝軟件"
"packet","","小包"
"packet sequence number","","小包順序號"
"packet switch","","小包交接"
"packet transmission","","小包傳輸"
"palmtop computer","","掌上電腦"
"parallel run","","並行運行"
"paravirtualisation","","半虛擬化技術"
"parent directory","","母目錄"
"partition","","分區"
"password","","密碼"
"patch","","修補程式"
"patch management","","修補程式管理"
"peer-to-peer","","點對點技術"
"peer-to-peer blocking function","","點對點封鎖功能"
"penetration testing","","滲透測試"
"performance monitoring","","性能監察"
"performance optimisation","","性能優化"
"performance tuning","","性能調校"
"peripheral equipment","","周邊設備"
"personal computer","PC","個人電腦"
"personal digital assistant","PDA","個人數碼助理"
"personal firewall","","個人防火牆"
"personal identification number","PIN","個人辨認號碼"
"pharming","","域欺騙"
"phase encoding","","相位編碼"
"phishing","","仿冒詐騙"
"phishing scams","","欺詐訊息"
"photovoltaic system","","光伏系統"
"physical design","","實體設計"
"physical schema","","實體模式"
"physical security","","實體保安"
"plain text","TXT","純文字格式"
"platform as a service [cloud computing]","PaaS","平台即服務 [雲端運算]"
"plug-and-play","","即插即用"
"plug-in unit","","插入式部件"
"point-to-point protocol","PPP","點對點規約"
"polling","","輪詢"
"polymorphism","","多形性"
"pop-up windows","","彈出式視窗"
"popular IT education","","資訊科技普及教育"
"port","","埠"
"portability","","可移植性"
"portable computer","","便攜式電腦"
"portable document format","PDF","便攜式文件格式"
"portable multimedia player","PMP","便攜式多媒體播放器"
"Portable Network Graphics","PNG","便攜式網絡圖像格式"
"portable storage device","","便攜式儲存裝置"
"portal","","入門網站"
"post implementation phase","","計劃推行後的階段"
"post office protocol","POP","郵局規約"
"Postdoctoral Hub","","博士專才庫"
"power usage effectiveness (PUE) value","PUE value","能源使用效率值"
"presentation software","","演示軟件"
"primary index","","主索引"
"primary key","","主關鍵碼"
"printer","","打印機"
"private key","","私人密碼匙"
"problem management","","問題管理"
"process","","進程"
"process re-engineering","","程序重組"
"processing capacity","","處理能力"
"processing unit","","處理器"
"processor","","處理器"
"production machine","","生產機器"
"production run","","生產運作"
"production system","","生產系統"
"productivity tool","","生產力促進工具"
"program [computer]","","[電腦] 程式"
"program bug","","程式錯誤"
"program coding","","程式編碼"
"program development","","程式開發"
"program documentation","","程式文件編製"
"program manual","","程式手冊"
"program specification","","程式規格"
"programmer","","程式編製員"
"programming","","程式編製"
"programming language","","程式編製語言"
"project management","","計劃管理"
"project management plan","","項目管理計劃"
"project management tool","","計劃管理工具"
"Property Information Hub","PIH","物業資訊通"
"protocol","","規約"
"prototype","","原型"
"prototyping","","原型開發"
"proxy server","","代理伺服器"
"public cloud services","","公共雲端服務"
"public key","","公開密碼匙"
"public key cryptography","","公開密碼匙加密技術"
"public key cryptography standards","","公開密碼匙加密標準"
"public key infrastructure","PKI","公開密碼匙基礎建設 (公匙基建)"
"Public Non-Exclusive Telecommunication Services","PNETS","公共非專利電訊服務"
"public sector information","","公共資料"
"push notification","","推送通知"
"quantum computing","","量子計算"
"query language","","查詢語言"
"quick response (QR) Code","QR Code","二維碼"
"radio frequency identification","RFID","射頻識別"
"random access memory","RAM","隨機接達記憶體"
"ransomware","","勒索軟件"
"rapid application development","RAD","應用系統快速發展法"
"raw data","","原始數據"
"re-industrialisation","","再工業化"
"read-only memory","ROM","唯讀記憶體"
"ready-made software","","現成軟件"
"really simple syndication","RSS","簡易資訊聚合"
"recognised certificate","","認可證書"
"recognised certification authority","","認可核證機關"
"record type","","記錄類型"
"recovery","","復原"
"redundancy","","冗餘"
"Redundant Array of Independent Disk","RAID","冗餘磁碟組"
"redundant code","","冗餘碼"
"reference architecture","","參考架構"
"regional Internet registries","","區域互聯網註冊管理機構"
"regulatory sandbox","","監管沙盒"
"relational database","","關係數據庫"
"relational database management system","RDBMS","關係數據庫管理系統"
"relational language","","關係語言"
"relational model","","關係模型"
"relational structure","","關係結構"
"release and deployment management","","發行與部署管理"
"remote operation","","遠程操作"
"remote procedure call","RPC","遠程程序調用"
"remote sensing device","","遙測感應裝置"
"remote site","","偏遠場地"
"remote terminal","","遠程終端機"
"removable hard disk","","抽取式硬碟"
"removable media","","抽取式媒體"
"repeater","","轉發器"
"resilience","","彈性"
"resolution","","解像度"
"resource provisioning tools","","資源供應工具"
"resources estimation","","資源預算"
"response time","","應答時間"
"responsive design","","適應性設計"
"responsive web design","RWD","適應性網頁設計"
"restart","","重新啟動"
"rewritable optical disk drive","","可重寫光碟機"
"rich media","","豐富式媒體"
"rich text format","RTF","豐富文本格式"
"right-sizing","","適當擴縮規模"
"risk analysis","","風險分析"
"risk assessment","","風險評估"
"risk management","","風險管理"
"robotic device","","機械人裝置"
"robotic process automation","RPA","機械人流程自動化"
"robotics","","機械人技術"
"rollfilm reader","","膠卷閱讀機"
"root directory","","根目錄"
"root server system","","根伺服器系統"
"round-the-clock support","","無間斷支援"
"router","","路由器"
"routine [procedure]","","例程 [程序]"
"routine [program]","","常式 [程式]"
"sample codes","","原始碼"
"scalable vector graphics","SVG","可縮放向量圖形"
"scanner","","掃描器"
"schema","","模式"
"Science, Technology, Engineering and Mathematics","STEM","科學、科技、工程及數學"
"scientific research institution","","科研機構"
"screen [computer]","","屏幕 [電腦]"
"screen layout","","屏幕格式"
"screen magnifier","","屏幕放大器"
"screen reader","","讀屏軟件"
"scripting language","","手稿程式語言"
"search engine","","搜尋器"
"secondary index","","輔助索引"
"secondary key","","輔助關鍵碼"
"secure electronic transaction","SET","保密電子交易"
"secure sockets layer","SSL","保密插口層"
"secure/multipurpose internet mail extension","S/MIME","保密/多功能互聯網郵遞伸延"
"security access module","SAM","保密存取模組"
"security architecture","","保安架構"
"security advisory","","保安建議"
"security alert","","保安警報"
"security audit","","保安審計"
"security compliance audit","","保安遵行審計"
"security risk assessment","","保安風險評估"
"selfie photo","","自拍照"
"semantic web","","語意網"
"sender policy framework","SPF","發件人策略框架"
"sensor","","感應器"
"serial adapter","","串列適配器"
"serial entrepreneur","","連續創業家"
"serial line internet protocol","SLIP","串列線聯網規約"
"serial transmission","","串列傳輸"
"server","","伺服器"
"service continuity management","","服務持續管理"
"service level management","","服務水平管理"
"service oriented architecture","SOA","服務導向架構"
"service portability","","服務可攜性"
"service reporting","","服務報告"
"service set identifiers","SSID","服務設定識別碼"
"shareware","","共享軟件"
"sharing economy","","共享經濟"
"shielded twisted pair","STP","屏蔽雙扭線"
"short message service","SMS","短訊服務"
"sign language window","","手語視窗"
"simple mail transfer protocol","SMTP","簡單郵遞傳送規約"
"simple network management protocol","SNMP","簡單網絡管理規約"
"simple object access protocol","SOAP","簡單對象訪問協議"
"simplex transmission","","單向傳輸"
"simulation","","模擬"
"single sign-on","","單一登入"
"sink","","接收器"
"site preparation work","","電腦場地準備工程"
"site specification","","電腦場地規格"
"Situational Awareness","","態勢感知"
"sizing model","","規模估計模型"
"Skills Framework for the Information Age","SFIA","信息時代技能框架"
"Skills Framework for the Information Age (SFIA) Foundation","SFIA Foundation","信息時代技能框架基金會"
"small computer system interface","SCSI","小型電腦系統界面"
"smart airport","","智能機場"
"smart card","","智能卡"
"smart card reader","","智能卡閱讀器"
"smart city","","智慧城市"
"Smart City Blueprint for Hong Kong","","香港智慧城市藍圖"
"smart customs clearance","","智能清關"
"smart device","","智能裝置"
"smart economy","","智慧經濟"
"smart environment","","智慧環境"
"smart glasses","","智能眼鏡"
"smart government","","智慧政府"
"smart home","","智能家居"
"smart hospital","","智慧醫院"
"smart living","","智慧生活"
"smart mobility","","智慧出行"
"smart people","","智慧市民"
"smart prison","","智慧監獄"
"smart region living lab","","智慧生活體驗社區"
"smart technology","","智能科技"
"smart water meter system","","智能水錶系統"
"Smart-Space co-working space Smart-Space","","共用工作間"
"smartphone","","智能手機"
"social engineering","","社交工程"
"social networking","","社交網絡"
"social networking service","","社交網絡服務"
"soft copy","","軟複本"
"software","","軟件"
"software as a service","SaaS","服務式軟件"
"software as a service [cloud computing]","SaaS","軟件即服務 [雲端運算]"
"software asset management","SAM","軟件資產管理"
"software engineering","","軟件工程"
"software maintenance","","軟件維修"
"software module","","軟件模組"
"software package","","套裝軟件"
"solid-state drive","","固態硬碟"
"sound card","","聲效卡"
"source code","","源碼"
"spatial data infrastructure","","空間資料基建"
"spreadsheet program","","試算表程式"
"spreadsheet software","","試算表軟件"
"spyware","","間諜軟件"
"standalone patch","","獨立修補程式"
"standard generalized markup language","SGML","標準通用標示語言"
"Standardization Administration of the People’s Republic of China","SAC","中國國家標準化管理委員會"
"standby resources","","備用資源"
"Standing Offer Agreement for Data Centre Services","SOA-DCS","數據中心服務－常備承辦協議"
"Standing Offer Agreement for Quality Professional Services","SOA-QPS","優質資訊科技專業服務－ 常備承辦協議"
"statistical computing software","","電腦統計軟件"
"storage","","儲存器"
"storage area network","","儲存區域網絡"
"structured programming","","結構化程式編製"
"structured query language","SQL","結構化查詢語言"
"Structured Threat Information eXpression","","結構化威脅信息表達式"
"sub-system","","分系統"
"Subsidy Scheme for Internet Access Charges","","上網費津貼計劃"
"Supercomputer","","超級電腦"
"supplier management","","供應商管理"
"support","","支援"
"support level","","支援水平"
"support program","","支援程式"
"support software","","支援軟件"
"surface link","","表層連結"
"symbol","","符號"
"synchronous data link control adapter","SDLC adapter","同步數據鏈路控制適配器"
"system administration","","系統管理"
"system analysis and design","SA&D","系統分析和設計"
"system analyst","","系統分析員"
"system backup","","系統備份"
"system configuration","","系統配置"
"system control","","系統控制"
"system conversion","","系統轉換"
"system cost","","系統成本"
"system description","","系統描述"
"system development life cycle","SDLC","系統發展周期"
"system documentation","","系統文件編製"
"system engineer","","系統工程師"
"system engineering","","系統工程"
"system enhancement","","系統改善"
"system functionality","","系統功能"
"system hosting capacity","","系統託管容量"
"system implementation","","系統推行"
"system installation","","系統安裝"
"system integration","","系統集成"
"system life cycle","","系統生命周期"
"system maintenance","","系統維修"
"system maintenance cycle","SMC","系統維修周期"
"system management software","","系統管理軟件"
"system manual","","系統手冊"
"system migration","","系統遷移"
"system nursing","","系統護理"
"system performance","","系統性能"
"system platform","","系統平台"
"system programmer","","系統程式編製員"
"system programming","","系統程式編製"
"system re-configuration","","系統配置重組"
"system resilience","","系統恢復"
"system security software","","系統保安軟件"
"system software","","系統軟件"
"system specification","","系統規格"
"system support","","系統支援"
"system testing","","系統測試"
"system tuning","","系統調校"
"tablet computer","","平板電腦"
"tag image file format","TIFF","標誌圖形檔案格式"
"tampering","","擅自改動"
"tape drive","","磁帶機"
"Task Force on Facilitating the Adoption of Wireless and Mobile Services and Technology","","促進無線及流動服務及科技應用專責小組"
"tech startup","","科技初創企業"
"technical reference model","","技術參考模型"
"technology-neutral","","科技中立"
"technology architecture","","技術架構"
"technology enterprise","","科技企業"
"technology refresh","","科技更新"
"Technology Voucher Programme","","科技券計劃"
"telecommunication link","","遠程通訊鏈路"
"telecommunication network","","遠程通訊網絡"
"teleconference","","電訊會議"
"telemetry data","","遙測數據"
"telnet","","遠程登錄"
"terabyte","TB","萬億字節"
"terminal","","終端機"
"terminal controller","","終端控制器"
"terminal emulation software","","終端仿真軟件"
"terminal user","","終端機用戶"
"test case","","測試個案"
"test plan","","測試計劃"
"test result","","測試結果"
"test specification","","測試規格"
"text processing","","文本處理"
"text retrieval","","文本檢索"
"thematic website","","專題網站"
"Third Generation (3G) Wireless System","","第三代無線接駁系統"
"Tier 3+ data centres","","第 3+級數據中心"
"Tier 4 data centres","","第 4 級數據中心"
"Time Division-Synchronous Code Division Multiple Access","TD-SCDMA","時分同步碼分多址接入"
"time sharing","","分時"
"time slot","","時隙"
"time-out","","逾時"
"token","","權標"
"token ring network","","權標環網絡"
"token-bus network","","權標匯流排網絡"
"toner cartridge","","色粉盒"
"total quality management","TQM","整體品質管理"
"trackball","","追蹤球"
"Traffic Light Protocol","TLP","交通燈協議"
"transaction","","事項"
"transaction processing management system","TPMS","事項處理管理系統"
"transceiver","","收發器"
"transfer protocol","","傳送規約"
"transfer rate","","傳送率"
"transform","","轉變"
"transition","","過渡"
"transmission","","傳輸"
"transmission channel","","傳輸通道"
"transmission control protocol/internet protocol","TCP/IP","傳輸控制規約/聯網規約"
"transmission line","","傳輸線"
"transportation layer security","TLS","傳輸層保安"
"tree structure","","樹狀結構"
"Trojan Horse","","特洛伊木馬"
"Trusted Automated Exchange of Intelligence Information","","情報信息的可信自動化交換"
"trustworthy system","","穩當系統"
"turnkey project","","承包計劃"
"turnkey service","","承包服務"
"twisted pair","","雙扭線"
"2-dimensional (2D) Universal Product Code (UPC)","","二維通用產品碼"
"Two-dimensional Barcode","2D Barcode","二維條碼"
"two-factor authentication","","雙重認證"
"unauthorised access to computer system","","未獲授權接達電腦系統"
"unicode","","統一碼"
"unified communications","","統一通訊"
"Unified Extensible Firmware Interface","UEFI","統一可延伸韌體界面"
"unified messaging","","統一信息傳送"
"Uniform Domain Name Dispute Resolution Policy","UDRP","統一域名爭議解決政策"
"Uniform Resource Locator","URL","劃一資源定位址"
"uninterruptible power supply","UPS","不間斷電源供應器"
"unit test","","單元測試"
"United Nations Commission on International Trade Law","UNCITRAL","聯合國國際貿易法委員會"
"universal address","","通用位址"
"Universal Mobile Telecommunications System","UMTS","全面流動電訊系統"
"universal serial bus","USB","通用串列匯流排"
"unmanned aircraft system","UAS","無人駕駛飛機系統 (無人機)"
"unshielded twisted pair","UTP","無屏蔽雙扭線"
"upsizing","","擴升規模"
"URL address [Internet]","","[互聯網] URL 位址"
"usability","","可用性；易用性"
"usability test","","可用性測試"
"user acceptance","","用戶驗收"
"user acceptance rehearsal","","用戶驗收彩排"
"user acceptance test","","用戶驗收測試"
"user administration","","用戶管理"
"user authentication","","用戶身分鑑定"
"user requirement","","用戶需求"
"user-friendly system","","方便用戶使用的系統"
"ultra-mobile PC","UMPC","超級移動電腦"
"utility software","","實用軟件"
"vehicle-to-everything","V2X","車聯網"
"video compact disc","VCD","視像光碟"
"video conferencing","","視像會議"
"video streaming","","視像串流"
"video-based training","VBT","視像輔助訓練"
"virtual appliance","","虛擬設備"
"virtual banking","","虛擬銀行"
"virtual circuit","","虛擬電路"
"virtual local area network","","虛擬局部區域網絡"
"virtual machine","","虛擬機器"
"virtual memory","","虛擬記憶體"
"virtual network","","虛擬網絡"
"virtual private network","VPN","虛擬私有網絡"
"virtual reality","VR","虛擬實境"
"virtual storage","","虛擬儲存器"
"virtual workstation","","虛擬工作站"
"virtualisation software","","虛擬軟件"
"virus scan","","病毒掃描"
"virus signature","","病毒識別碼"
"visitor count","","瀏覽人次"
"visual display unit","VDU","顯示器"
"voice mail","","話音郵件"
"voice over IP","VoIP","網絡語音"
"voice recognition","","話音識別"
"voiceprint","","聲紋"
"voiceprint recognition","","聲紋辨識"
"Voluntary Certification Authority Recognition Scheme","","核證機關自願認可計劃"
"vulnerability","","保安漏洞"
"vulnerability scan","","保安漏洞掃描"
"vulnerability scanner","","保安漏洞掃描軟件"
"wardial","","撥號式掃描"
"warm start","","熱啟動"
"Waveform Audio Format","WAV","波形音頻格式"
"web accessibility","","無障礙網頁"
"web accessibility design","","無障礙網頁設計"
"web accessibility function","","無障礙網頁功能"
"web application","","網上應用系統"
"Web Application Firewall","WAF","網上應用系統防火牆"
"Web Content Accessibility Guidelines","","無障礙網頁內容指引"
"web crawler","","網絡搜索器"
"web defacement","","網頁竄改"
"web feature service","WFS","網絡要素服務"
"web hosting","","網頁寄存"
"web map service","WMS","網上地圖服務"
"Web Marketing Association","","萬維網推廣協會"
"Web Open Font Format","","網頁開放字型格式"
"web page","","網頁"
"web server","","網頁伺服器"
"web service integration and marshalling","","網絡服務集成和編組"
"web services","","網上服務"
"web surfer","","網站瀏覽者"
"Web/Mobile App Accessibility Campaign","","無障礙網頁／流動應用程式運動"
"web-based learning","","網上學習"
"webcasting","","網上廣播"
"webmaster","","網站主持人"
"website/web site","","網站"
"whitelist","","白名單"
"Wi-Fi access point","","Wi-Fi 接入點"
"Wi-Fi hotspot","","Wi-Fi 熱點"
"Wi-Fi Protected Access","WPA","Wi-Fi 保護接入"
"wide area network","WAN","寬廣區域網絡"
"wideband","","寬帶"
"Wiki","","維基"
"Wikipedia","","維基百科"
"window","","視窗"
"wireless application protocol","WAP","無線應用系統規約"
"wireless markup language","WML","無線標示語言"
"word processing software","","文字處理軟件"
"word processor","","文字處理器"
"workbench","","工作台"
"workgroup computing","","工作小組電腦應用"
"workstation","","工作站"
"World Wide Web","WWW","萬維網"
"World Wide Web Consortium","W3C","萬維網聯盟"
"Worldwide Interoperability for Microwave Access","WiMAX","微波存取全球互通"
"worm","","蠕蟲"
"XML (extensible markup language)","XML","可擴充標示語言"
"XSL (extensible style language)","XSL","可擴充式樣語言"
"year 2000 compliance","Y2K compliance","符合公元二千年數位標準"
"year 2000 critical date","Y2K critical date","關鍵日子"
"year 2000 problem","Y2K problem","電腦公元二千年數位問題"
"zero-day attack","","零日攻擊"
"zombie computer","","殭屍電腦"